scenario,component,metric,value
rural_degraded_isac,rsu_awareness,rsu_range_km,5.0
rural_degraded_isac,lava_decision_engine,route_decisions,568
rural_degraded_isac,lava_decision_engine,v2g_decisions,1440
rural_degraded_isac,lava_decision_engine,route_deferrals,42
rural_degraded_isac,lava_decision_engine,avg_route_confidence,0.789
rural_degraded_isac,lava_decision_engine,avg_v2g_confidence,0.874
rural_degraded_isac,lava_decision_engine,latency_ms_avg,0.0163
rural_degraded_isac,lava_decision_engine,latency_ms_p50,0.016
rural_degraded_isac,lava_decision_engine,latency_ms_p95,0.024
rural_degraded_isac,lava_decision_engine,latency_ms_max,0.2
rural_degraded_isac,station_operations,total_energy_delivered_kwh,16967.495
rural_degraded_isac,station_operations,total_v2g_supplied_kwh,1804.467
rural_degraded_isac,grid_response,avg_grid_stress,0.8182
rural_degraded_isac,grid_response,peak_grid_stress,1.0
rural_degraded_isac,grid_response,stress_minutes_over_0_80,559
rural_degraded_isac,grid_response,baseline_stress_minutes_over_0_80,1405
rural_degraded_isac,grid_response,stress_event_reduction_pct,60.21
rural_degraded_isac,grid_response,demand_prediction_accuracy_pct,97.87
rural_degraded_isac,grid_response,avg_frequency_hz,49.9738
rural_degraded_isac,v2g_settlement,invitations,11602
rural_degraded_isac,v2g_settlement,acceptances,9023
rural_degraded_isac,v2g_settlement,utilization_pct,77.77
rural_degraded_isac,v2g_settlement,supplied_kwh,1804.467
rural_degraded_isac,v2g_settlement,revenue,1138.28
rural_degraded_isac,v2g_settlement,credits_awarded,3608
rural_degraded_isac,v2g_settlement,credit_ledger_mode,on_chain
rural_degraded_isac,v2g_settlement,credit_ledger_transactions,1
rural_degraded_isac,v2g_settlement,credit_ledger_failures,0
rural_degraded_isac,blockchain_validation,chain_file,rural_degraded_isac_chain.jsonl
rural_degraded_isac,blockchain_validation,records,2008
rural_degraded_isac,blockchain_validation,valid_hash_chain,True
rural_degraded_isac,blockchain_validation,last_block_hash,6f9351314f66e21b44d20f71f207b9ab888a5ee523ce658ba9163c1e22912e05
rural_degraded_isac,blockchain_validation,consensus_pct,100.0
rural_degraded_isac,edge_deployment,scenario,rural_degraded_isac
rural_degraded_isac,edge_deployment,wan_outage,False
rural_degraded_isac,edge_deployment,offline_decision_continuity_pct,100.0
rural_degraded_isac,edge_deployment,docker_image,aei-v2g:pi
wan_outage_edge_only,ev_traffic,spawned_evs,724
wan_outage_edge_only,ev_traffic,charge_request_evs,596
